"id","company_id/id","code","name","reconcile","currency_id/id","user_type_id/id","bfc_factor","bfc_account","tag_ids/id"
"__setup__.account_account_7","base.main_company","10000","Caisse","true","","account.data_account_type_liquidity","1","A51000",""
"__setup__.account_account_14","base.main_company","10100","Poste 10-700131-0","false","","account.data_account_type_liquidity","1","A51000",""
"__setup__.account_account_17","base.main_company","10200","Compte courant CS (1586494-01)","false","","account.data_account_type_liquidity","1","A51000",""
"__setup__.account_account_1790","base.main_company","10210","Compte courant CS EUR (1586494-02-1)","false","base.EUR","account.data_account_type_liquidity","1","A51000",""
"__setup__.account_account_1791","base.main_company","10220","Compte courant CS USD (1586494-02)","false","base.USD","account.data_account_type_liquidity","1","A51000",""
"__setup__.account_account_1447","base.main_company","10300","Compte courant Paypal CHF","true","","account.data_account_type_liquidity","1","A51000",""
"__setup__.account_account_1448","base.main_company","10310","Compte courant Paypal USD","true","base.USD","account.data_account_type_liquidity","1","A51000",""
"__setup__.account_account_1449","base.main_company","10320","Compte courant Paypal Euro","true","base.EUR","account.data_account_type_liquidity","1","A51000",""
"__setup__.account_account_1659","base.main_company","10330","Compte courant Paypal GBP","true","base.GBP","account.data_account_type_liquidity","","",""
"__setup__.account_account_1677","base.main_company","10380","Compte courant Paypal AUD","true","base.AUD","account.data_account_type_liquidity","","",""
"__setup__.account_account_2313","base.main_company","10390","Compte courant Paypal CAD","true","base.CAD","account.data_account_type_liquidity","","",""
"__setup__.account_account_2328","base.main_company","10400","Compte de consignation CS (01-3)","true","","account.data_account_type_liquidity","","",""
"__setup__.account_account_30","base.main_company","10510","Placements","false","","account.data_account_type_liquidity","","",""
"__setup__.account_account_2307","base.main_company","10600","Compte courant senseFly Inc","false","base.USD","account.data_account_type_liquidity","1","A45100",""
"__setup__.account_account_2347","base.main_company","10610","Compte courant Parrot ","false","","account.data_account_type_liquidity","","",""
"l10n_ch.1_ch_coa_1100","base.main_company","11010","Créances-clients","true","","account.data_account_type_receivable","1","A41000",""
"__setup__.account_account_1629","base.main_company","11050","Visa - Pmt","true","","account.data_account_type_liquidity","1","A41000",""
"__setup__.account_account_1632","base.main_company","11060","Avoir-clients","true","","account.data_account_type_receivable","1","A41000",""
"__setup__.account_account_1575","base.main_company","11220","Compte de transition","true","","account.data_account_type_receivable","","",""
"__setup__.account_account_1581","base.main_company","11230","Compte retenue sur salaire","true","","account.data_account_type_receivable","","",""
"l10n_ch.1_ch_coa_1170","base.main_company","11700","TVA à récupérer s/achats matières et prest.","true","","account.data_account_type_receivable","","",""
