"id","order_id/id","name","order_partner_id/id","product_id/id","price_unit","product_uom/id","product_uom_qty","discount","state"
"__setup__.sale_order_line_28015","__setup__.sale_order_7621","texte","__setup__.res_partner_601","__setup__.product_template_1469","187.0","product.product_uom_categ_unit","2.0","100.0","done"
"__setup__.sale_order_line_29101","__setup__.sale_order_7890","texte","__setup__.res_partner_3335","__setup__.product_template_1311","297.5","product.product_uom_categ_unit","2.0","0.0","sale"
"__setup__.sale_order_line_26480","__setup__.sale_order_7222","texte","__setup__.res_partner_3970","__setup__.product_template_1661","1280.0","product.product_uom_categ_unit","4.0","0.0","sale"
"__setup__.sale_order_line_27400","__setup__.sale_order_7439","texte","__setup__.res_partner_1224","__setup__.product_template_1597","80.25","product.product_uom_categ_unit","2.0","0.0","sale"
"__setup__.sale_order_line_27864","__setup__.sale_order_7580","texte","__setup__.res_partner_3970","__setup__.product_template_976","202.5","product.product_uom_categ_unit","3.0","0.0","done"
"__setup__.sale_order_line_29102","__setup__.sale_order_7890","texte","__setup__.res_partner_3335","__setup__.product_template_1597","80.25","product.product_uom_categ_unit","7.0","0.0","sale"
"__setup__.sale_order_line_29103","__setup__.sale_order_7890","texte","__setup__.res_partner_3335","__setup__.product_template_1379","15.0","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_35980","__setup__.sale_order_9572","texte","__setup__.res_partner_3335","__setup__.product_template_700","64.5","product.product_uom_categ_unit","5.0","0.0","sale"
"__setup__.sale_order_line_27865","__setup__.sale_order_7580","texte","__setup__.res_partner_3970","__setup__.product_template_1472","11.9","product.product_uom_categ_unit","3.0","0.0","sale"
"__setup__.sale_order_line_27866","__setup__.sale_order_7580","texte","__setup__.res_partner_3970","__setup__.product_template_704","34.85","product.product_uom_categ_unit","5.0","0.0","sale"
"__setup__.sale_order_line_35981","__setup__.sale_order_9572","texte","__setup__.res_partner_3335","__setup__.product_template_989","17.85","product.product_uom_categ_unit","1.0","0.0","sale"
"__setup__.sale_order_line_27881","__setup__.sale_order_7584","texte","__setup__.res_partner_6981","__setup__.product_template_848","465.0","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_28535","__setup__.sale_order_7752","texte","__setup__.res_partner_6970","__setup__.product_template_1270","3742.5","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_27079","__setup__.sale_order_7370","texte","__setup__.res_partner_3970","__setup__.product_template_569","11.0","product.product_uom_categ_unit","5.0","0.0","sale"
"__setup__.sale_order_line_33936","__setup__.sale_order_9065","texte","__setup__.res_partner_4737","__setup__.product_template_7","621.5","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_28262","__setup__.sale_order_7682","texte","__setup__.res_partner_5745","__setup__.product_template_1596","161.25","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_27884","__setup__.sale_order_7584","texte","__setup__.res_partner_6981","__setup__.product_template_328","185.0","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_26788","__setup__.sale_order_7297","texte","__setup__.res_partner_601","__setup__.product_template_1328","12.0","product.product_uom_categ_unit","10.0","0.0","done"
"__setup__.sale_order_line_27887","__setup__.sale_order_7584","texte","__setup__.res_partner_6981","__setup__.product_template_7","93.0","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_35860","__setup__.sale_order_9544","texte","__setup__.res_partner_3970","__setup__.product_template_1848","270.3","product.product_uom_categ_unit","2.0","0.0","done"
"__setup__.sale_order_line_27867","__setup__.sale_order_7580","texte","__setup__.res_partner_3970","__setup__.product_template_1379","15.0","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_27892","__setup__.sale_order_7589","texte","__setup__.res_partner_3335","__setup__.product_template_133","4.5","product.product_uom_categ_unit","8.0","0.0","sale"
"__setup__.sale_order_line_28292","__setup__.sale_order_7689","texte","__setup__.res_partner_1224","__setup__.product_template_1597","80.25","product.product_uom_categ_unit","4.0","0.0","sale"
"__setup__.sale_order_line_26825","__setup__.sale_order_7297","texte","__setup__.res_partner_601","__setup__.product_template_7","669.38","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_30195","__setup__.sale_order_8149","texte","__setup__.res_partner_7152","__setup__.product_template_1580","7552.0","product.product_uom_categ_unit","1.0","0.0","draft"
"__setup__.sale_order_line_29187","__setup__.sale_order_7912","texte","__setup__.res_partner_3534","__setup__.product_template_1302","1791.0","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_35982","__setup__.sale_order_9572","texte","__setup__.res_partner_3335","__setup__.product_template_514","50.0","product.product_uom_categ_unit","2.0","0.0","sale"
"__setup__.sale_order_line_27544","__setup__.sale_order_7489","texte","__setup__.res_partner_3225","__setup__.product_template_700","64.5","product.product_uom_categ_unit","2.0","0.0","done"
"__setup__.sale_order_line_27543","__setup__.sale_order_7489","texte","__setup__.res_partner_3225","__setup__.product_template_328","161.25","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_29469","__setup__.sale_order_7996","texte","__setup__.res_partner_3335","__setup__.product_template_700","64.5","product.product_uom_categ_unit","5.0","0.0","sale"
"__setup__.sale_order_line_32977","__setup__.sale_order_8865","texte","__setup__.res_partner_3335","__setup__.product_template_502","205.0","product.product_uom_categ_unit","2.0","0.0","sale"
"__setup__.sale_order_line_27533","__setup__.sale_order_7487","texte","__setup__.res_partner_262","__setup__.product_template_1842","8000.0","product.product_uom_categ_unit","2.0","0.0","done"
"__setup__.sale_order_line_29470","__setup__.sale_order_7996","texte","__setup__.res_partner_3335","__setup__.product_template_1219","28.9","product.product_uom_categ_unit","2.0","0.0","sale"
"__setup__.sale_order_line_35983","__setup__.sale_order_9572","texte","__setup__.res_partner_3335","__setup__.product_template_468","20.25","product.product_uom_categ_unit","7.0","0.0","sale"
"__setup__.sale_order_line_35984","__setup__.sale_order_9572","texte","__setup__.res_partner_3335","__setup__.product_template_133","4.5","product.product_uom_categ_unit","6.0","0.0","sale"
"__setup__.sale_order_line_35986","__setup__.sale_order_9572","texte","__setup__.res_partner_3335","__setup__.product_template_1601","4.5","product.product_uom_categ_unit","5.0","0.0","sale"
"__setup__.sale_order_line_28392","__setup__.sale_order_7715","texte","__setup__.res_partner_1162","__setup__.product_template_1663","8392.0","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_26578","__setup__.sale_order_7252","texte","__setup__.res_partner_196","__setup__.product_template_1273","262.5","product.product_uom_categ_unit","1.0","0.0","done"
"__setup__.sale_order_line_35988","__setup__.sale_order_9572","texte","__setup__.res_partner_3335","__setup__.product_template_1597","80.25","product.product_uom_categ_unit","12.0","0.0","sale"
"__setup__.sale_order_line_35989","__setup__.sale_order_9572","texte","__setup__.res_partner_3335","__setup__.product_template_1598","72.75","product.product_uom_categ_unit","4.0","0.0","sale"
"__setup__.sale_order_line_35949","__setup__.sale_order_9566","texte","__setup__.res_partner_3","__setup__.product_template_468","17.25","product.product_uom_categ_unit","1.0","0.0","done"
