"inventory_id/id","company_id/id","location_id/id","product_id/id","product_qty"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1014","0.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1045","0.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1097","7.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1098","9.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1133","2.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1137","4.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1138","0.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1139","0.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1140","0.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1141","19.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1142","4.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1144","18.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1146","18.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1147","50.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1148","101.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1151","10.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1152","18.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1153","4.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1154","25.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1155","3.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1156","17.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1159","43.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1160","4.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1161","2.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1162","12.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1163","19.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1164","19.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1165","20.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1166","4.0"
"__setup__.stock_location_stock_inc_inventory","__setup__.company_inc","__setup__.stock_location_stock_inc","__setup__.product_template_1167","6.0"
