"id","company_id/id","fields_id/id","name","type","value_reference/id","res_id/id"
"sc.account_properties_re1_3","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_3"
"sc.account_properties_re1_5","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_5"
"sc.account_properties_re2_5","__setup__.company_inc","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","__setup__.account_account_1869","__setup__.res_partner_5"
"sc.account_properties_re1_8","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_8"
"sc.account_properties_re1_10","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_10"
"sc.account_properties_re1_14","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_14"
"sc.account_properties_re1_15","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_15"
"sc.account_properties_re1_18","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_18"
"sc.account_properties_re1_19","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_19"
"sc.account_properties_re1_20","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_20"
"sc.account_properties_re1_21","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_21"
"sc.account_properties_re1_22","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_22"
"sc.account_properties_re1_23","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_23"
"sc.account_properties_re1_24","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_24"
"sc.account_properties_re1_25","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_25"
"sc.account_properties_re1_26","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_26"
"sc.account_properties_re1_27","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_27"
"sc.account_properties_re1_29","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_29"
"sc.account_properties_re1_30","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_30"
"sc.account_properties_re1_31","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_31"
"sc.account_properties_re1_32","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_32"
"sc.account_properties_re1_33","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_33"
"sc.account_properties_re1_34","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_34"
