"id","name","lot_id/id","product_id/id","partner_id/id","original_order_id/id","original_customer_id/id","date","zendesk_ref","user_id/id","decision","offer_reason","warranty_limit","to_exchange","to_receive","problem_description","resolution_description","drone_flight_time","drone_flight_num","drone_firmware_version","company_id/id"
"__setup__.rma_5379","RMA02225_SINC","__setup__.stock_production_lot_522233","__setup__.product_template_1657","__setup__.res_partner_1020","","","2017-11-01","33833","__setup__.res_users_16","to_invoice","","2018-05-10","false","true","Motor foam cracked as a result of a back wind landing.","New:
   Lower body
   Propeller (2)
   Rubber bands (10)
   S.O.D.A. spare protective lenses (3)
   Underbody skin

Full flight test and calibrations","13.25","31","3.3.1","__setup__.company_inc","done","1"
"__setup__.rma_4965","RMA01970_SINC","__setup__.stock_production_lot_622558","__setup__.product_template_1658","__setup__.res_partner_1020","__setup__.sale_order_7791","__setup__.res_partner_1020","2017-09-01","32196","__setup__.res_users_16","free","","2018-03-15","false","true","eBee Plus landed short of intended location. Landing was conducted with a moderate backwind and over an uphill grade. 

Damage includes loose motor mount and a free-spinning servo. ","New:
   Servo set
   Motor set
   Propeller (2)
   Rubber bands (10)
   Underbody skin
   
Full flight test and calibrations","1.9166666666666665","12","3.3.1","__setup__.company_inc","done","1"
"__setup__.rma_5249","RMA02152_SINC","__setup__.stock_production_lot_215039","__setup__.product_template_1257","__setup__.res_partner_5","","","2017-10-13","D33363","__setup__.res_users_16","to_invoice","","2017-03-04","false","true","Weak ESC current.","New:
   Connector plate camera/USB
   Air modem PCB
   Underbody skin
   Propeller (2)
   Rubber bands (10)
   Motor set

Full flight test and calibrations","18.35","77","3.3.1","__setup__.company_inc","done","1"
"__setup__.rma_5137","RMA02077_SINC","__setup__.stock_production_lot_216846","__setup__.product_template_1257","__setup__.res_partner_1020","__setup__.sale_order_7548","__setup__.res_partner_1020","2017-09-26","32812","__setup__.res_users_16","free","","2018-02-21","false","true","Pre-flight checks failed: Ground Sensor Malfunction","New:
   Optical flow sensor
   Propeller (2)
   Rubber bands (10)
   Underbody skin
   Blisters set
   Autopilot 

Full flight test and calibrations","3.466666666666667","18","2.4.13","__setup__.company_inc","done","1"
"__setup__.rma_5082","RMA06655","__setup__.stock_production_lot_621848","__setup__.product_template_1580","__setup__.res_partner_3","__setup__.sale_order_7613","__setup__.res_partner_3","2017-09-18","32625","__setup__.res_users_16","to_invoice","","2018-03-07","false","true","Dust in pitot tube","","94.83333333333333","291","3.3.1","base.main_company","done","1"
"__setup__.rma_3379","RMA00943_SINC","__setup__.stock_production_lot_4562","__setup__.product_template_1257","__setup__.res_partner_1020","","","2016-11-17","D23602","__setup__.res_users_16","to_invoice","","2015-11-01","false","true","Really poor uplink quality and camera malfunctions with WX / IXUS","eBee maintenance kit including:
 - Pitot sensor
 - Optical flow sensor
 - Brushless motor + ESC
 - Servo set
 - Blisters
 - Underbody skin
 - Ground station antenna 
 
Other items:
 - RC controller - paired with eBee
 - Lower body swap
 - Camera PCB
 - eBee radio modem PCB


Full eBee flight tests with airspeed sensor and trims calibrations.
","85.06666666666666","238","","__setup__.company_inc","done","1"
"__setup__.rma_5391","RMA02236_SINC","__setup__.stock_production_lot_522133","__setup__.product_template_1657","__setup__.res_partner_1020","__setup__.sale_order_9084","__setup__.res_partner_1020","2017-11-02","33894","__setup__.res_users_16","free","","2018-06-27","false","true","Poor and unstable decibel coverage (L1). Drone's RTK antenna needs replacement.
Logic error revealed by RD. Drone thinks it landed but has not. Alex Haabersat could not find rootcause. ","New:
   EP RTK antenna
   Motor set
   Autopilot
   Servo set
   RC receiver
   Propeller (2)
   Rubber bands (10)
   Underbody skin
   Lower body
   Wing pair

Full flight test and calibrations","12.483333333333333","32","3.3.4","__setup__.company_inc","done","1"
"__setup__.rma_5195","RMA02123_SINC","__setup__.stock_production_lot_627609","__setup__.product_template_1658","__setup__.res_partner_1020","__setup__.sale_order_9217","__setup__.res_partner_1020","2017-10-06","32821","__setup__.res_users_16","free","","2018-08-25","false","true","Servo issue causing instability and bad airspeed readings.","New:
   Servo set
   Underbody skin
   Propeller (2)
   Rubber bands (10)
   Wing pair
   S.O.D.A. and integration kit

Full flight test and calibrations","5.45","15","3.3.1","__setup__.company_inc","done","1"
"__setup__.rma_5405","RMA02243_SINC","__setup__.stock_production_lot_624760","__setup__.product_template_1658","__setup__.res_partner_3970","__setup__.sale_order_8315","__setup__.res_partner_3970","2017-11-07","33897","__setup__.res_users_16","free","","2018-05-11","false","true","eBee Plus and SODA have trigger sync issue during flight.","New:
   Integration kit for S.O.D.A.
   Underbody skin
   Propeller (2)
   Rubber bands (10)
   GNSS interface board
   Pitot sensor
   Servo set
   EP RTK antenna
   Motor set
   Connector plate camera/USB

Full flight test and calibrations","1.95","18","3.3.4","__setup__.company_inc","done","1"
"__setup__.rma_5263","RMA02160_SINC","__setup__.stock_production_lot_624195","__setup__.product_template_1658","__setup__.res_partner_1020","__setup__.sale_order_8156","__setup__.res_partner_1020","2017-10-17","33430","__setup__.res_users_16","free","","2018-08-04","false","true","Servo head removed during installation of new vertical stabilizers. ","New:
   Servo set
   Underbody skin
   Propeller (2)
   Rubber bands (10)

Full flight test and calibrations","4.116666666666666","17","3.3.4","__setup__.company_inc","done","1"
